"lemmatized_summary","gene","value","change","summary","Official.Name","summarySource"
"RNA5SP301 ( RNA, 5S Ribosomal Pseudogene 301 ) be a Pseudogene.","RNA5SP301","Up Regulated EGCG+Quercentin",-0.460252214,"RNA5SP301 (RNA, 5S Ribosomal Pseudogene 301) is a Pseudogene. ","RNA, 5S ribosomal pseudogene 301","genecards.org"
"RNU6 - 522P ( RNA, U6 Small Nuclear 522, Pseudogene ) be a Pseudogene.","RNU6-522P","Up Regulated EGCG+Quercentin",-0.419670286,"RNU6-522P (RNA, U6 Small Nuclear 522, Pseudogene) is a Pseudogene. ","RNA, U6 small nuclear 522, pseudogene","genecards.org"
"RPL36AP26 ( Ribosomal Protein L36a Pseudogene 26 ) be a Pseudogene.","RPL36AP26","Up Regulated EGCG+Quercentin",-0.403493429,"RPL36AP26 (Ribosomal Protein L36a Pseudogene 26) is a Pseudogene. ","ribosomal protein L36a pseudogene 26","genecards.org"
"The protein encode by this gene be a zinc finger protein contain a KRAB domain. study in mouse suggest that this protein may function as a transcriptional repressor. mutation in this gene have be associate with transient neonatal diabetes mellitus type 1 ( TNDM1 ).","ZFP57","Up Regulated EGCG",-0.4280465,"The protein encoded by this gene is a zinc finger protein containing a KRAB domain. Studies in mouse suggest that this protein may function as a transcriptional repressor. Mutations in this gene have been associated with transient neonatal diabetes mellitus type 1 (TNDM1).","ZFP57 zinc finger protein","ncbi gene"
"The scaffold protein encode by this gene be the main component of the caveolae plasma membrane find in much cell type. The protein link integrin subunit to the tyrosine kinase FYN, a initiate step in couple integrin to the Ras - ERK pathway and promote cell cycle progression. The gene be a tumor suppressor gene candidate and a negative regulator of the Ras - p42 / 44 mitogen - activate kinase cascade. Caveolin 1 and caveolin 2 be locate next to each other on chromosome 7 and express colocalizing protein that form a stable hetero - oligomeric complex. mutation in this gene have be associate with Berardinelli - Seip congenital lipodystrophy. Alternatively splice transcript encode alpha and beta isoform of caveolin 1.","CAV1","Up Regulated EGCG",-0.412508929,"The scaffolding protein encoded by this gene is the main component of the caveolae plasma membranes found in most cell types. The protein links integrin subunits to the tyrosine kinase FYN, an initiating step in coupling integrins to the Ras-ERK pathway and promoting cell cycle progression. The gene is a tumor suppressor gene candidate and a negative regulator of the Ras-p42/44 mitogen-activated kinase cascade. Caveolin 1 and caveolin 2 are located next to each other on chromosome 7 and express colocalizing proteins that form a stable hetero-oligomeric complex. Mutations in this gene have been associated with Berardinelli-Seip congenital lipodystrophy. Alternatively spliced transcripts encode alpha and beta isoforms of caveolin 1.","caveolin 1","ncbi gene"
"This gene encode a member of a superfamily of protein compose predominantly of tandemly array short consensus repeat of approximately 60 amino acid. Along with a single, unique beta - chain, seven identical alpha - chain encode by this gene assemble into the predominant isoform of C4b - bind protein, a multimeric protein that control activation of the complement cascade through the classical pathway. The gene encode both alpha and beta chain be locate adjacent to each other on human chromosome 1 in the regulator of complement activation gene cluster. Two pseudogene of this gene be also find in the cluster.","C4BPA","Up Regulated EGCG+Quercentin",-0.434463429,"This gene encodes a member of a superfamily of proteins composed predominantly of tandemly arrayed short consensus repeats of approximately 60 amino acids. Along with a single, unique beta-chain, seven identical alpha-chains encoded by this gene assemble into the predominant isoform of C4b-binding protein, a multimeric protein that controls activation of the complement cascade through the classical pathway. The genes encoding both alpha and beta chains are located adjacent to each other on human chromosome 1 in the regulator of complement activation gene cluster. Two pseudogenes of this gene are also found in the cluster.","complement component 4 binding protein alpha","ncbi gene"
"This gene encode a secrete inhibitor which protect epithelial tissue from serine protease. It be find in various secretion include seminal plasma, cervical mucus, and bronchial secretion, and have affinity for trypsin, leukocyte elastase, and cathepsin G. Its inhibitory effect contribute to the immune response by protect epithelial surface from attack by endogenous proteolytic enzyme. This antimicrobial protein have antibacterial, antifungal and antiviral activity.","SLPI","Up Regulated EGCG+Quercentin",-0.4022155,"This gene encodes a secreted inhibitor which protects epithelial tissues from serine proteases. It is found in various secretions including seminal plasma, cervical mucus, and bronchial secretions, and has affinity for trypsin, leukocyte elastase, and cathepsin G. Its inhibitory effect contributes to the immune response by protecting epithelial surfaces from attack by endogenous proteolytic enzymes. This antimicrobial protein has antibacterial, antifungal and antiviral activity. ","secretory leukocyte peptidase inhibitor","ncbi gene"
"This gene encode a type II membrane glycoprotein which be one of the component of the renal amino acid transporter which transport neutral and basic amino acid in the renal tubule and intestinal tract. mutation and deletion in this gene be associate with cystinuria. Alternatively splice transcript variant have be describe, but their biological validity have not be determine.","SLC3A1","Up Regulated EGCG+Quercentin",-0.393528286,"This gene encodes a type II membrane glycoprotein which is one of the components of the renal amino acid transporter which transports neutral and basic amino acids in the renal tubule and intestinal tract. Mutations and deletions in this gene are associated with cystinuria. Alternatively spliced transcript variants have been described, but their biological validity has not been determined. ","solute carrier family 3 member 1","ncbi gene"
"This gene encode a immune inhibitory receptor ligand that be express by hematopoietic and non - hematopoietic cell, such as T cell and B cell and various type of tumor cell. The encode protein be a type I transmembrane protein that have immunoglobulin V - like and C - like domain. Interaction of this ligand with its receptor inhibit T - cell activation and cytokine production. During infection or inflammation of normal tissue, this interaction be important for prevent autoimmunity by maintain homeostasis of the immune response. In tumor microenvironment, this interaction provide a immune escape for tumor cell through cytotoxic T - cell inactivation. Expression of this gene in tumor cell be consider to be prognostic in many type of human malignancy, include colon cancer and renal cell carcinoma. Alternative splice result in multiple transcript variant.","CD274","Up Regulated EGCG+Quercentin",-0.432865357,"This gene encodes an immune inhibitory receptor ligand that is expressed by hematopoietic and non-hematopoietic cells, such as T cells and B cells and various types of tumor cells. The encoded protein is a type I transmembrane protein that has immunoglobulin V-like and C-like domains. Interaction of this ligand with its receptor inhibits T-cell activation and cytokine production. During infection or inflammation of normal tissue, this interaction is important for preventing autoimmunity by maintaining homeostasis of the immune response. In tumor microenvironments, this interaction provides an immune escape for tumor cells through cytotoxic T-cell inactivation. Expression of this gene in tumor cells is considered to be prognostic in many types of human malignancies, including colon cancer and renal cell carcinoma. Alternative splicing results in multiple transcript variants.","CD274 molecule","ncbi gene"
"This gene encode a integral membrane protein that be require for cytokine - induce regulation of the tight junction paracellular permeability barrier. mutation in this gene be think to be a cause of band - like calcification with simplify gyration and polymicrogyria ( BLC - PMG ), a autosomal recessive neurologic disorder that be also know as pseudo - TORCH syndrome. Alternative splice result in multiple transcript variant. A relate pseudogene be present 1.5 Mb downstream on the q arm of chromosome 5.","OCLN","Up Regulated EGCG+Quercentin",-0.4780635,"This gene encodes an integral membrane protein that is required for cytokine-induced regulation of the tight junction paracellular permeability barrier. Mutations in this gene are thought to be a cause of band-like calcification with simplified gyration and polymicrogyria (BLC-PMG), an autosomal recessive neurologic disorder that is also known as pseudo-TORCH syndrome. Alternative splicing results in multiple transcript variants. A related pseudogene is present 1.5 Mb downstream on the q arm of chromosome 5.","occludin","ncbi gene"
"for TMEM176B Gene TMEM176B ( Transmembrane Protein 176B ) be a Protein code gene. a important paralog of this gene be TMEM176A. for TMEM176B Gene May play a role in the process of maturation of dendritic cell. require for the development of cerebellar granule cell ( By similarity ). T176B _ HUMAN, Q3YBM2","TMEM176B","Fold Change EGCG",1.105664164,"
 for TMEM176B Gene

TMEM176B (Transmembrane Protein 176B) is a Protein Coding gene. An important paralog of this gene is TMEM176A.
 for TMEM176B Gene

    May play a role in the process of maturation of dendritic cells. Required for the development of cerebellar granule cells (By similarity).
        T176B_HUMAN,Q3YBM2 
","transmembrane protein 176B","genecards.org"
"for ZNF578 Gene ZNF578 ( Zinc Finger Protein 578 ) be a Protein code gene. ( ) relate to this gene include nucleic acid bind. a important paralog of this gene be ZNF813. for ZNF578 Gene May be involve in transcriptional regulation. ZN578 _ HUMAN, Q96N58 Additional gene information for ZNF578 Gene","ZNF578","Fold Change EGCG",1.083705678,"
 for ZNF578 Gene

ZNF578 (Zinc Finger Protein 578) is a Protein Coding gene.  ()  related to this gene include nucleic acid binding. An important paralog of this gene is ZNF813.
 for ZNF578 Gene

    May be involved in transcriptional regulation.
        ZN578_HUMAN,Q96N58 

Additional gene information for ZNF578 Gene ","zinc finger protein 578","genecards.org"
"CYP4F35P ( Cytochrome P450 Family 4 Subfamily F Member 35, Pseudogene ) be a Pseudogene.","CYP4F35P","Fold Change EGCG",1.09482017,"CYP4F35P (Cytochrome P450 Family 4 Subfamily F Member 35, Pseudogene) is a Pseudogene. ","cytochrome P450 family 4 subfamily F member 35, pseudogene","genecards.org"
"Cytochrome c oxidase ( COX ), the terminal component of the mitochondrial respiratory chain, catalyze the electron transfer from reduce cytochrome c to oxygen. This component be a heteromeric complex consist of 3 catalytic subunit encode by mitochondrial gene and multiple structural subunit encode by nuclear gene. The mitochondrially - encode subunit function in electron transfer, and the nuclear - encode subunit may function in the regulation and assembly of the complex. This nuclear gene encode subunit VIIb, which be highly similar to bovine COX VIIb protein and be find in all tissue. This gene may have several pseudogene on chromosome 1, 2, 20 and 22.","COX7B","Fold Change EGCG+Quercentin",1.134414904,"Cytochrome c oxidase (COX), the terminal component of the mitochondrial respiratory chain, catalyzes the electron transfer from reduced cytochrome c to oxygen. This component is a heteromeric complex consisting of 3 catalytic subunits encoded by mitochondrial genes and multiple structural subunits encoded by nuclear genes. The mitochondrially-encoded subunits function in electron transfer, and the nuclear-encoded subunits may function in the regulation and assembly of the complex. This nuclear gene encodes subunit VIIb, which is highly similar to bovine COX VIIb protein and is found in all tissues. This gene may have several pseudogenes on chromosomes 1, 2, 20 and 22. ","cytochrome c oxidase subunit 7B","ncbi gene"
"Cytosolic and membrane - bind form of glutathione S - transferase be encode by two distinct supergene family. At present, eight distinct class of the soluble cytoplasmic mammalian glutathione S - transferase have be identify: alpha, kappa, mu, omega, pi, sigma, theta and zeta. This gene encode a glutathione S - transferase that belong to the mu class. The mu class of enzyme function in the detoxification of electrophilic compound, include carcinogen, therapeutic drug, environmental toxin and product of oxidative stress, by conjugation with glutathione. The gene encode the mu class of enzyme be organize in a gene cluster on chromosome 1p13. 3 and be know to be highly polymorphic. this genetic variation can change a individual's susceptibility to carcinogen and toxin as good as affect the toxicity and efficacy of certain drug. Null mutation of this class mu gene have be link with a increase in a numb of cancer, likely due to a increase susceptibility to environmental toxin and carcinogen. Multiple protein isoform be encode by transcript variant of this gene.","GSTM1","Fold Change EGCG+Quercentin",1.088275182,"Cytosolic and membrane-bound forms of glutathione S-transferase are encoded by two distinct supergene families. At present, eight distinct classes of the soluble cytoplasmic mammalian glutathione S-transferases have been identified: alpha, kappa, mu, omega, pi, sigma, theta and zeta. This gene encodes a glutathione S-transferase that belongs to the mu class. The mu class of enzymes functions in the detoxification of electrophilic compounds, including carcinogens, therapeutic drugs, environmental toxins and products of oxidative stress, by conjugation with glutathione. The genes encoding the mu class of enzymes are organized in a gene cluster on chromosome 1p13.3 and are known to be highly polymorphic. These genetic variations can change an individual's susceptibility to carcinogens and toxins as well as affect the toxicity and efficacy of certain drugs. Null mutations of this class mu gene have been linked with an increase in a number of cancers, likely due to an increased susceptibility to environmental toxins and carcinogens. Multiple protein isoforms are encoded by transcript variants of this gene. ","glutathione S-transferase mu 1","ncbi gene"
"DDX18P6 ( DEAD - Box Helicase 18 Pseudogene 6 ) be a Pseudogene.","DDX18P6","Fold Change EGCG+Quercentin",1.097674048,"DDX18P6 (DEAD-Box Helicase 18 Pseudogene 6) is a Pseudogene. ","DEAD-box helicase 18 pseudogene 6","genecards.org"
"FAUP1 ( FAU Pseudogene 1 ) be a Pseudogene.","FAU1","Fold Change EGCG+Quercentin",1.08904129,"FAUP1 (FAU Pseudogene 1) is a Pseudogene. ","5-formyltetrahydrofolate cyclo-ligase","genecards.org"
"HMGB3P24 ( High Mobility Group Box 3 Pseudogene 24 ) be a Pseudogene.","HMGB3P24","Fold Change EGCG+Quercentin",1.096735273,"HMGB3P24 (High Mobility Group Box 3 Pseudogene 24) is a Pseudogene. ","high mobility group box 3 pseudogene 24","genecards.org"
"Homolog Pseudogene 2 ) be a Pseudogene.","BUD31P2","Fold Change EGCG",1.084540081,"Homolog Pseudogene 2) is a Pseudogene. ","BUD31 homolog pseudogene 2","genecards.org"
"KARS1P3 ( Lysyl - TRNA Synthetase 1 Pseudogene 3 ) be a Pseudogene.","KARSP3","Fold Change EGCG+Quercentin",1.201475196,"KARS1P3 (Lysyl-TRNA Synthetase 1 Pseudogene 3) is a Pseudogene. ","lysyl-tRNA synthetase 1 pseudogene 3","genecards.org"
"LINC01356 ( Long Intergenic Non - Protein code RNA 1356 ) be a RNA Gene, and be affiliate with the lncRNA class.","LINC01356","Fold Change EGCG+Quercentin",1.096309372,"LINC01356 (Long Intergenic Non-Protein Coding RNA 1356) is an RNA Gene, and is affiliated with the lncRNA class. ","long intergenic non-protein coding RNA 1356","genecards.org"
